Common_Genes	group_name
bcl2	hsa-mir-192-5p_paclitaxel
rrm1	hsa-mir-192-5p_paclitaxel
map3k1	hsa-mir-192-5p_paclitaxel
fos	hsa-mir-192-5p_paclitaxel
rb1	hsa-mir-192-5p_paclitaxel
casp7	hsa-mir-192-5p_paclitaxel
hnf1b	hsa-mir-192-5p_platinum
ret	hsa-mir-192-5p_sorafenib
irak1	hsa-mir-192-5p_sorafenib
abcg2	hsa-mir-192-5p_sorafenib
mapk9	hsa-mir-192-5p_sorafenib
plk4	hsa-mir-192-5p_sorafenib
rps6kb1	hsa-mir-192-5p_sorafenib
kmt2a	hsa-mir-193a-3p_doxorubicin
ccnd1	hsa-mir-193a-3p_doxorubicin
tyms	hsa-mir-193a-3p_verapamil
plau	hsa-mir-193a-3p_verapamil
kmt2a	hsa-mir-193a-3p_doxorubicin
ccnd1	hsa-mir-193a-3p_doxorubicin
pten	hsa-mir-193a-3p_temozolomide
pten	hsa-mir-193a-3p_navitoclax
plau	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_cisplatin
tyms	hsa-mir-193a-3p_cisplatin
cdk12	hsa-mir-193a-3p_cisplatin
kras	hsa-mir-193a-3p_cisplatin
mdh2	hsa-mir-193a-3p_cisplatin
e2f1	hsa-mir-193a-3p_cisplatin
map3k1	hsa-mir-193a-3p_cisplatin
ccnd1	hsa-mir-193a-3p_cisplatin
aurka	hsa-mir-193a-3p_cisplatin
hmgb1	hsa-mir-193a-3p_cisplatin
plau	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_cisplatin
tyms	hsa-mir-193a-3p_cisplatin
cdk12	hsa-mir-193a-3p_cisplatin
kras	hsa-mir-193a-3p_cisplatin
mdh2	hsa-mir-193a-3p_cisplatin
e2f1	hsa-mir-193a-3p_cisplatin
map3k1	hsa-mir-193a-3p_cisplatin
ccnd1	hsa-mir-193a-3p_cisplatin
aurka	hsa-mir-193a-3p_cisplatin
hmgb1	hsa-mir-193a-3p_cisplatin
nf1	hsa-mir-193a-3p_tamoxifen
tyms	hsa-mir-193a-3p_tamoxifen
ccnd1	hsa-mir-193a-3p_tamoxifen
erbb2	hsa-mir-193a-3p_tamoxifen
aurka	hsa-mir-193a-3p_tamoxifen
pten	hsa-mir-193a-3p_fluorouracil
tyms	hsa-mir-193a-3p_fluorouracil
ccnd1	hsa-mir-193a-3p_fluorouracil
kras	hsa-mir-193a-3p_fluorouracil
aurka	hsa-mir-193a-3p_fluorouracil
plau	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_cisplatin
tyms	hsa-mir-193a-3p_cisplatin
cdk12	hsa-mir-193a-3p_cisplatin
kras	hsa-mir-193a-3p_cisplatin
mdh2	hsa-mir-193a-3p_cisplatin
e2f1	hsa-mir-193a-3p_cisplatin
map3k1	hsa-mir-193a-3p_cisplatin
ccnd1	hsa-mir-193a-3p_cisplatin
aurka	hsa-mir-193a-3p_cisplatin
hmgb1	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_sunitinib
pten	hsa-mir-193a-3p_oxaliplatin
kras	hsa-mir-193a-3p_oxaliplatin
plau	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_cisplatin
tyms	hsa-mir-193a-3p_cisplatin
cdk12	hsa-mir-193a-3p_cisplatin
kras	hsa-mir-193a-3p_cisplatin
mdh2	hsa-mir-193a-3p_cisplatin
e2f1	hsa-mir-193a-3p_cisplatin
map3k1	hsa-mir-193a-3p_cisplatin
ccnd1	hsa-mir-193a-3p_cisplatin
aurka	hsa-mir-193a-3p_cisplatin
hmgb1	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_chemotherapy
erbb2	hsa-mir-193a-3p_chemotherapy
kras	hsa-mir-193a-3p_chemotherapy
pten	hsa-mir-193a-3p_fluorouracil
tyms	hsa-mir-193a-3p_fluorouracil
ccnd1	hsa-mir-193a-3p_fluorouracil
kras	hsa-mir-193a-3p_fluorouracil
aurka	hsa-mir-193a-3p_fluorouracil
pten	hsa-mir-193a-3p_gemcitabine
erbb2	hsa-mir-193a-3p_gemcitabine
kras	hsa-mir-193a-3p_gemcitabine
pten	hsa-mir-193a-3p_paclitaxel
tyms	hsa-mir-193a-3p_paclitaxel
e2f1	hsa-mir-193a-3p_paclitaxel
map3k1	hsa-mir-193a-3p_paclitaxel
kras	hsa-mir-193a-3p_paclitaxel
erbb2	hsa-mir-193a-3p_paclitaxel
aurka	hsa-mir-193a-3p_paclitaxel
pten	hsa-mir-193a-3p_paclitaxel
tyms	hsa-mir-193a-3p_paclitaxel
e2f1	hsa-mir-193a-3p_paclitaxel
map3k1	hsa-mir-193a-3p_paclitaxel
kras	hsa-mir-193a-3p_paclitaxel
erbb2	hsa-mir-193a-3p_paclitaxel
aurka	hsa-mir-193a-3p_paclitaxel
pten	hsa-mir-193a-3p_paclitaxel
tyms	hsa-mir-193a-3p_paclitaxel
e2f1	hsa-mir-193a-3p_paclitaxel
map3k1	hsa-mir-193a-3p_paclitaxel
kras	hsa-mir-193a-3p_paclitaxel
erbb2	hsa-mir-193a-3p_paclitaxel
aurka	hsa-mir-193a-3p_paclitaxel
plau	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_cisplatin
tyms	hsa-mir-193a-3p_cisplatin
cdk12	hsa-mir-193a-3p_cisplatin
kras	hsa-mir-193a-3p_cisplatin
mdh2	hsa-mir-193a-3p_cisplatin
e2f1	hsa-mir-193a-3p_cisplatin
map3k1	hsa-mir-193a-3p_cisplatin
ccnd1	hsa-mir-193a-3p_cisplatin
aurka	hsa-mir-193a-3p_cisplatin
hmgb1	hsa-mir-193a-3p_cisplatin
kmt2a	hsa-mir-193a-3p_doxorubicin
ccnd1	hsa-mir-193a-3p_doxorubicin
kmt2a	hsa-mir-193a-3p_pirarubicin
pten	hsa-mir-193a-3p_paclitaxel
tyms	hsa-mir-193a-3p_paclitaxel
e2f1	hsa-mir-193a-3p_paclitaxel
map3k1	hsa-mir-193a-3p_paclitaxel
kras	hsa-mir-193a-3p_paclitaxel
erbb2	hsa-mir-193a-3p_paclitaxel
aurka	hsa-mir-193a-3p_paclitaxel
pten	hsa-mir-193a-3p_gemcitabine
erbb2	hsa-mir-193a-3p_gemcitabine
kras	hsa-mir-193a-3p_gemcitabine
pten	hsa-mir-193a-3p_gemcitabine
erbb2	hsa-mir-193a-3p_gemcitabine
kras	hsa-mir-193a-3p_gemcitabine
tyms	hsa-mir-193a-3p_platinum
mapk8	hsa-mir-193a-3p_platinum
pten	hsa-mir-193a-3p_paclitaxel
tyms	hsa-mir-193a-3p_paclitaxel
e2f1	hsa-mir-193a-3p_paclitaxel
map3k1	hsa-mir-193a-3p_paclitaxel
kras	hsa-mir-193a-3p_paclitaxel
erbb2	hsa-mir-193a-3p_paclitaxel
aurka	hsa-mir-193a-3p_paclitaxel
pten	hsa-mir-193a-3p_fluorouracil
tyms	hsa-mir-193a-3p_fluorouracil
ccnd1	hsa-mir-193a-3p_fluorouracil
kras	hsa-mir-193a-3p_fluorouracil
aurka	hsa-mir-193a-3p_fluorouracil
pten	hsa-mir-193a-3p_docetaxel
erbb2	hsa-mir-193a-3p_docetaxel
map3k1	hsa-mir-193a-3p_docetaxel
kras	hsa-mir-193a-3p_docetaxel
pten	hsa-mir-193a-3p_dabrafenib
nf1	hsa-mir-193a-3p_dabrafenib
kras	hsa-mir-193a-3p_dabrafenib
pten	hsa-mir-193a-3p_vemurafenib
nf1	hsa-mir-193a-3p_vemurafenib
kras	hsa-mir-193a-3p_vemurafenib
plau	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_cisplatin
tyms	hsa-mir-193a-3p_cisplatin
cdk12	hsa-mir-193a-3p_cisplatin
kras	hsa-mir-193a-3p_cisplatin
mdh2	hsa-mir-193a-3p_cisplatin
e2f1	hsa-mir-193a-3p_cisplatin
map3k1	hsa-mir-193a-3p_cisplatin
ccnd1	hsa-mir-193a-3p_cisplatin
aurka	hsa-mir-193a-3p_cisplatin
hmgb1	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_gemcitabine
erbb2	hsa-mir-193a-3p_gemcitabine
kras	hsa-mir-193a-3p_gemcitabine
pten	hsa-mir-193a-3p_fluorouracil
tyms	hsa-mir-193a-3p_fluorouracil
ccnd1	hsa-mir-193a-3p_fluorouracil
kras	hsa-mir-193a-3p_fluorouracil
aurka	hsa-mir-193a-3p_fluorouracil
pten	hsa-mir-193a-3p_docetaxel
erbb2	hsa-mir-193a-3p_docetaxel
map3k1	hsa-mir-193a-3p_docetaxel
kras	hsa-mir-193a-3p_docetaxel
pten	hsa-mir-193a-3p_paclitaxel
tyms	hsa-mir-193a-3p_paclitaxel
e2f1	hsa-mir-193a-3p_paclitaxel
map3k1	hsa-mir-193a-3p_paclitaxel
kras	hsa-mir-193a-3p_paclitaxel
erbb2	hsa-mir-193a-3p_paclitaxel
aurka	hsa-mir-193a-3p_paclitaxel
mapk8	hsa-mir-193a-3p_gefitinib
pten	hsa-mir-193a-3p_gefitinib
map3k1	hsa-mir-193a-3p_gefitinib
kras	hsa-mir-193a-3p_gefitinib
erbb2	hsa-mir-193a-3p_gefitinib
erbb4	hsa-mir-193a-3p_gefitinib
pten	hsa-mir-193a-3p_paclitaxel
tyms	hsa-mir-193a-3p_paclitaxel
e2f1	hsa-mir-193a-3p_paclitaxel
map3k1	hsa-mir-193a-3p_paclitaxel
kras	hsa-mir-193a-3p_paclitaxel
erbb2	hsa-mir-193a-3p_paclitaxel
aurka	hsa-mir-193a-3p_paclitaxel
pten	hsa-mir-193a-3p_gemcitabine
erbb2	hsa-mir-193a-3p_gemcitabine
kras	hsa-mir-193a-3p_gemcitabine
kmt2a	hsa-mir-193a-3p_doxorubicin
ccnd1	hsa-mir-193a-3p_doxorubicin
pten	hsa-mir-193a-3p_paclitaxel
tyms	hsa-mir-193a-3p_paclitaxel
e2f1	hsa-mir-193a-3p_paclitaxel
map3k1	hsa-mir-193a-3p_paclitaxel
kras	hsa-mir-193a-3p_paclitaxel
erbb2	hsa-mir-193a-3p_paclitaxel
aurka	hsa-mir-193a-3p_paclitaxel
pten	hsa-mir-193a-3p_imatinib
nf1	hsa-mir-193a-3p_imatinib
nqo2	hsa-mir-193a-3p_imatinib
kras	hsa-mir-193a-3p_imatinib
plau	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_cisplatin
tyms	hsa-mir-193a-3p_cisplatin
cdk12	hsa-mir-193a-3p_cisplatin
kras	hsa-mir-193a-3p_cisplatin
mdh2	hsa-mir-193a-3p_cisplatin
e2f1	hsa-mir-193a-3p_cisplatin
map3k1	hsa-mir-193a-3p_cisplatin
ccnd1	hsa-mir-193a-3p_cisplatin
aurka	hsa-mir-193a-3p_cisplatin
hmgb1	hsa-mir-193a-3p_cisplatin
pten	hsa-mir-193a-3p_cetuximab
erbb2	hsa-mir-193a-3p_cetuximab
kras	hsa-mir-193a-3p_cetuximab
erbb2	hsa-mir-193a-5p_docetaxel
erbb2	hsa-mir-193a-5p_docetaxel
erbb2	hsa-mir-193a-5p_paclitaxel
erbb2	hsa-mir-193a-5p_gemcitabine
erbb2	hsa-mir-193a-5p_paclitaxel
top2a	hsa-mir-193b-3p_doxorubicin
rac2	hsa-mir-193b-3p_doxorubicin
mtr	hsa-mir-193b-3p_doxorubicin
xrcc1	hsa-mir-193b-3p_doxorubicin
ccnd1	hsa-mir-193b-3p_doxorubicin
myb	hsa-mir-193b-3p_doxorubicin
brca1	hsa-mir-193b-3p_doxorubicin
mthfd1	hsa-mir-193b-3p_doxorubicin
nf1	hsa-mir-193b-3p_sorafenib
mapk8	hsa-mir-193b-3p_sorafenib
pten	hsa-mir-193b-3p_sorafenib
irak1	hsa-mir-193b-3p_sorafenib
cdk8	hsa-mir-193b-3p_sorafenib
kit	hsa-mir-193b-3p_sorafenib
arid1a	hsa-mir-193b-3p_sorafenib
kras	hsa-mir-193b-3p_sorafenib
gmnn	hsa-mir-193b-3p_sorafenib
epha2	hsa-mir-193b-3p_sorafenib
plau	hsa-mir-193b-3p_cisplatin
pten	hsa-mir-193b-3p_cisplatin
fanca	hsa-mir-193b-3p_cisplatin
mthfd1	hsa-mir-193b-3p_cisplatin
chek1	hsa-mir-193b-3p_cisplatin
cdk12	hsa-mir-193b-3p_cisplatin
bard1	hsa-mir-193b-3p_cisplatin
dnmt1	hsa-mir-193b-3p_cisplatin
hmgb1	hsa-mir-193b-3p_cisplatin
map3k1	hsa-mir-193b-3p_cisplatin
ccnd1	hsa-mir-193b-3p_cisplatin
esr1	hsa-mir-193b-3p_cisplatin
brca1	hsa-mir-193b-3p_cisplatin
mtr	hsa-mir-193b-3p_cisplatin
tyms	hsa-mir-193b-3p_cisplatin
mdh2	hsa-mir-193b-3p_cisplatin
xrcc1	hsa-mir-193b-3p_cisplatin
nf2	hsa-mir-193b-3p_cisplatin
e2f1	hsa-mir-193b-3p_cisplatin
kras	hsa-mir-193b-3p_cisplatin
cbx1	hsa-mir-193b-3p_cisplatin
tyms	hsa-mir-193b-3p_methotrexate
cdk9	hsa-mir-193b-3p_methotrexate
ccnd1	hsa-mir-193b-3p_methotrexate
tyms	hsa-mir-193b-3p_methotrexate
cdk9	hsa-mir-193b-3p_methotrexate
ccnd1	hsa-mir-193b-3p_methotrexate
pten	hsa-mir-193b-3p_abt-737
plau	hsa-mir-193b-3p_cisplatin
pten	hsa-mir-193b-3p_cisplatin
fanca	hsa-mir-193b-3p_cisplatin
mthfd1	hsa-mir-193b-3p_cisplatin
chek1	hsa-mir-193b-3p_cisplatin
cdk12	hsa-mir-193b-3p_cisplatin
bard1	hsa-mir-193b-3p_cisplatin
dnmt1	hsa-mir-193b-3p_cisplatin
hmgb1	hsa-mir-193b-3p_cisplatin
map3k1	hsa-mir-193b-3p_cisplatin
ccnd1	hsa-mir-193b-3p_cisplatin
esr1	hsa-mir-193b-3p_cisplatin
brca1	hsa-mir-193b-3p_cisplatin
mtr	hsa-mir-193b-3p_cisplatin
tyms	hsa-mir-193b-3p_cisplatin
mdh2	hsa-mir-193b-3p_cisplatin
xrcc1	hsa-mir-193b-3p_cisplatin
nf2	hsa-mir-193b-3p_cisplatin
e2f1	hsa-mir-193b-3p_cisplatin
kras	hsa-mir-193b-3p_cisplatin
cbx1	hsa-mir-193b-3p_cisplatin
cbx1	hsa-mir-193b-3p_tamoxifen
nf1	hsa-mir-193b-3p_tamoxifen
tyms	hsa-mir-193b-3p_tamoxifen
esr1	hsa-mir-193b-3p_tamoxifen
ccna2	hsa-mir-193b-3p_tamoxifen
ccnd1	hsa-mir-193b-3p_tamoxifen
gmnn	hsa-mir-193b-3p_tamoxifen
brca1	hsa-mir-193b-3p_tamoxifen
mtr	hsa-mir-193b-3p_carboplatin
pten	hsa-mir-193b-3p_carboplatin
xrcc1	hsa-mir-193b-3p_carboplatin
nf2	hsa-mir-193b-3p_carboplatin
map3k1	hsa-mir-193b-3p_carboplatin
kras	hsa-mir-193b-3p_carboplatin
prrc2a	hsa-mir-193b-3p_carboplatin
brca1	hsa-mir-193b-3p_carboplatin
plau	hsa-mir-193b-3p_cisplatin
pten	hsa-mir-193b-3p_cisplatin
fanca	hsa-mir-193b-3p_cisplatin
mthfd1	hsa-mir-193b-3p_cisplatin
chek1	hsa-mir-193b-3p_cisplatin
cdk12	hsa-mir-193b-3p_cisplatin
bard1	hsa-mir-193b-3p_cisplatin
dnmt1	hsa-mir-193b-3p_cisplatin
hmgb1	hsa-mir-193b-3p_cisplatin
map3k1	hsa-mir-193b-3p_cisplatin
ccnd1	hsa-mir-193b-3p_cisplatin
esr1	hsa-mir-193b-3p_cisplatin
brca1	hsa-mir-193b-3p_cisplatin
mtr	hsa-mir-193b-3p_cisplatin
tyms	hsa-mir-193b-3p_cisplatin
mdh2	hsa-mir-193b-3p_cisplatin
xrcc1	hsa-mir-193b-3p_cisplatin
nf2	hsa-mir-193b-3p_cisplatin
e2f1	hsa-mir-193b-3p_cisplatin
kras	hsa-mir-193b-3p_cisplatin
cbx1	hsa-mir-193b-3p_cisplatin
top2a	hsa-mir-193b-3p_paclitaxel
chek1	hsa-mir-193b-3p_paclitaxel
pten	hsa-mir-193b-3p_paclitaxel
tyms	hsa-mir-193b-3p_paclitaxel
tubb3	hsa-mir-193b-3p_paclitaxel
kras	hsa-mir-193b-3p_paclitaxel
e2f1	hsa-mir-193b-3p_paclitaxel
fasn	hsa-mir-193b-3p_paclitaxel
map3k1	hsa-mir-193b-3p_paclitaxel
tubb	hsa-mir-193b-3p_paclitaxel
gmnn	hsa-mir-193b-3p_paclitaxel
stmn1	hsa-mir-193b-3p_paclitaxel
tuba1b	hsa-mir-193b-3p_paclitaxel
brca1	hsa-mir-193b-3p_paclitaxel
pten	hsa-mir-193b-3p_oxaliplatin
brca1	hsa-mir-193b-3p_oxaliplatin
kras	hsa-mir-193b-3p_oxaliplatin
top2a	hsa-mir-193b-3p_paclitaxel
chek1	hsa-mir-193b-3p_paclitaxel
pten	hsa-mir-193b-3p_paclitaxel
tyms	hsa-mir-193b-3p_paclitaxel
tubb3	hsa-mir-193b-3p_paclitaxel
kras	hsa-mir-193b-3p_paclitaxel
e2f1	hsa-mir-193b-3p_paclitaxel
fasn	hsa-mir-193b-3p_paclitaxel
map3k1	hsa-mir-193b-3p_paclitaxel
tubb	hsa-mir-193b-3p_paclitaxel
gmnn	hsa-mir-193b-3p_paclitaxel
stmn1	hsa-mir-193b-3p_paclitaxel
tuba1b	hsa-mir-193b-3p_paclitaxel
brca1	hsa-mir-193b-3p_paclitaxel
nf1	hsa-mir-193b-3p_sorafenib
mapk8	hsa-mir-193b-3p_sorafenib
pten	hsa-mir-193b-3p_sorafenib
irak1	hsa-mir-193b-3p_sorafenib
cdk8	hsa-mir-193b-3p_sorafenib
kit	hsa-mir-193b-3p_sorafenib
arid1a	hsa-mir-193b-3p_sorafenib
kras	hsa-mir-193b-3p_sorafenib
gmnn	hsa-mir-193b-3p_sorafenib
epha2	hsa-mir-193b-3p_sorafenib
nf1	hsa-mir-193b-3p_imatinib
pten	hsa-mir-193b-3p_imatinib
irak1	hsa-mir-193b-3p_imatinib
smad3	hsa-mir-193b-3p_imatinib
nqo2	hsa-mir-193b-3p_imatinib
kit	hsa-mir-193b-3p_imatinib
nf2	hsa-mir-193b-3p_imatinib
kras	hsa-mir-193b-3p_imatinib
plau	hsa-mir-193b-3p_cisplatin
pten	hsa-mir-193b-3p_cisplatin
fanca	hsa-mir-193b-3p_cisplatin
mthfd1	hsa-mir-193b-3p_cisplatin
chek1	hsa-mir-193b-3p_cisplatin
cdk12	hsa-mir-193b-3p_cisplatin
bard1	hsa-mir-193b-3p_cisplatin
dnmt1	hsa-mir-193b-3p_cisplatin
hmgb1	hsa-mir-193b-3p_cisplatin
map3k1	hsa-mir-193b-3p_cisplatin
ccnd1	hsa-mir-193b-3p_cisplatin
esr1	hsa-mir-193b-3p_cisplatin
brca1	hsa-mir-193b-3p_cisplatin
mtr	hsa-mir-193b-3p_cisplatin
tyms	hsa-mir-193b-3p_cisplatin
mdh2	hsa-mir-193b-3p_cisplatin
xrcc1	hsa-mir-193b-3p_cisplatin
nf2	hsa-mir-193b-3p_cisplatin
e2f1	hsa-mir-193b-3p_cisplatin
kras	hsa-mir-193b-3p_cisplatin
cbx1	hsa-mir-193b-3p_cisplatin
top2a	hsa-mir-193b-3p_fluorouracil
pten	hsa-mir-193b-3p_fluorouracil
tyms	hsa-mir-193b-3p_fluorouracil
ccnd1	hsa-mir-193b-3p_fluorouracil
kras	hsa-mir-193b-3p_fluorouracil
exo1	hsa-mir-193b-3p_fluorouracil
shmt1	hsa-mir-193b-3p_fluorouracil
pten	hsa-mir-193b-3p_docetaxel
tubb3	hsa-mir-193b-3p_docetaxel
kras	hsa-mir-193b-3p_docetaxel
xrcc1	hsa-mir-193b-3p_docetaxel
map3k1	hsa-mir-193b-3p_docetaxel
tubb	hsa-mir-193b-3p_docetaxel
ephx1	hsa-mir-193b-3p_docetaxel
esr1	hsa-mir-193b-3p_docetaxel
tuba1b	hsa-mir-193b-3p_docetaxel
top2a	hsa-mir-193b-3p_doxorubicin
rac2	hsa-mir-193b-3p_doxorubicin
mtr	hsa-mir-193b-3p_doxorubicin
xrcc1	hsa-mir-193b-3p_doxorubicin
ccnd1	hsa-mir-193b-3p_doxorubicin
myb	hsa-mir-193b-3p_doxorubicin
brca1	hsa-mir-193b-3p_doxorubicin
mthfd1	hsa-mir-193b-3p_doxorubicin
top2a	hsa-mir-193b-3p_doxorubicin
rac2	hsa-mir-193b-3p_doxorubicin
mtr	hsa-mir-193b-3p_doxorubicin
xrcc1	hsa-mir-193b-3p_doxorubicin
ccnd1	hsa-mir-193b-3p_doxorubicin
myb	hsa-mir-193b-3p_doxorubicin
brca1	hsa-mir-193b-3p_doxorubicin
mthfd1	hsa-mir-193b-3p_doxorubicin
top2a	hsa-mir-193b-3p_doxorubicin
rac2	hsa-mir-193b-3p_doxorubicin
mtr	hsa-mir-193b-3p_doxorubicin
xrcc1	hsa-mir-193b-3p_doxorubicin
ccnd1	hsa-mir-193b-3p_doxorubicin
myb	hsa-mir-193b-3p_doxorubicin
brca1	hsa-mir-193b-3p_doxorubicin
mthfd1	hsa-mir-193b-3p_doxorubicin
tyms	hsa-mir-193b-3p_platinum
xrcc1	hsa-mir-193b-3p_platinum
stmn1	hsa-mir-193b-3p_platinum
mapk8	hsa-mir-193b-3p_platinum
top2a	hsa-mir-193b-3p_fluorouracil
pten	hsa-mir-193b-3p_fluorouracil
tyms	hsa-mir-193b-3p_fluorouracil
ccnd1	hsa-mir-193b-3p_fluorouracil
kras	hsa-mir-193b-3p_fluorouracil
exo1	hsa-mir-193b-3p_fluorouracil
shmt1	hsa-mir-193b-3p_fluorouracil
plau	hsa-mir-193b-3p_cisplatin
pten	hsa-mir-193b-3p_cisplatin
fanca	hsa-mir-193b-3p_cisplatin
mthfd1	hsa-mir-193b-3p_cisplatin
chek1	hsa-mir-193b-3p_cisplatin
cdk12	hsa-mir-193b-3p_cisplatin
bard1	hsa-mir-193b-3p_cisplatin
dnmt1	hsa-mir-193b-3p_cisplatin
hmgb1	hsa-mir-193b-3p_cisplatin
map3k1	hsa-mir-193b-3p_cisplatin
ccnd1	hsa-mir-193b-3p_cisplatin
esr1	hsa-mir-193b-3p_cisplatin
brca1	hsa-mir-193b-3p_cisplatin
mtr	hsa-mir-193b-3p_cisplatin
tyms	hsa-mir-193b-3p_cisplatin
mdh2	hsa-mir-193b-3p_cisplatin
xrcc1	hsa-mir-193b-3p_cisplatin
nf2	hsa-mir-193b-3p_cisplatin
e2f1	hsa-mir-193b-3p_cisplatin
kras	hsa-mir-193b-3p_cisplatin
cbx1	hsa-mir-193b-3p_cisplatin
npm1	hsa-mir-193b-3p_ceritinib
tyms	hsa-mir-193b-3p_methotrexate
cdk9	hsa-mir-193b-3p_methotrexate
ccnd1	hsa-mir-193b-3p_methotrexate
msh6	hsa-mir-193b-3p_temozolomide
pten	hsa-mir-193b-3p_temozolomide
top2a	hsa-mir-193b-3p_paclitaxel
chek1	hsa-mir-193b-3p_paclitaxel
pten	hsa-mir-193b-3p_paclitaxel
tyms	hsa-mir-193b-3p_paclitaxel
tubb3	hsa-mir-193b-3p_paclitaxel
kras	hsa-mir-193b-3p_paclitaxel
e2f1	hsa-mir-193b-3p_paclitaxel
fasn	hsa-mir-193b-3p_paclitaxel
map3k1	hsa-mir-193b-3p_paclitaxel
tubb	hsa-mir-193b-3p_paclitaxel
gmnn	hsa-mir-193b-3p_paclitaxel
stmn1	hsa-mir-193b-3p_paclitaxel
tuba1b	hsa-mir-193b-3p_paclitaxel
brca1	hsa-mir-193b-3p_paclitaxel
btrc	hsa-mir-193b-3p_gemcitabine
rrm2	hsa-mir-193b-3p_gemcitabine
chek1	hsa-mir-193b-3p_gemcitabine
pten	hsa-mir-193b-3p_gemcitabine
xrcc1	hsa-mir-193b-3p_gemcitabine
kras	hsa-mir-193b-3p_gemcitabine
prrc2a	hsa-mir-193b-3p_gemcitabine
brca1	hsa-mir-193b-3p_gemcitabine
mthfd1	hsa-mir-193b-3p_gemcitabine
tyms	hsa-mir-193b-3p_methotrexate
cdk9	hsa-mir-193b-3p_methotrexate
ccnd1	hsa-mir-193b-3p_methotrexate
top2a	hsa-mir-193b-3p_paclitaxel
chek1	hsa-mir-193b-3p_paclitaxel
pten	hsa-mir-193b-3p_paclitaxel
tyms	hsa-mir-193b-3p_paclitaxel
tubb3	hsa-mir-193b-3p_paclitaxel
kras	hsa-mir-193b-3p_paclitaxel
e2f1	hsa-mir-193b-3p_paclitaxel
fasn	hsa-mir-193b-3p_paclitaxel
map3k1	hsa-mir-193b-3p_paclitaxel
tubb	hsa-mir-193b-3p_paclitaxel
gmnn	hsa-mir-193b-3p_paclitaxel
stmn1	hsa-mir-193b-3p_paclitaxel
tuba1b	hsa-mir-193b-3p_paclitaxel
brca1	hsa-mir-193b-3p_paclitaxel
mapk8	hsa-mir-193b-3p_gefitinib
pten	hsa-mir-193b-3p_gefitinib
irak1	hsa-mir-193b-3p_gefitinib
map3k1	hsa-mir-193b-3p_gefitinib
kras	hsa-mir-193b-3p_gefitinib
gmnn	hsa-mir-193b-3p_gefitinib
pten	hsa-mir-193b-3p_docetaxel
tubb3	hsa-mir-193b-3p_docetaxel
kras	hsa-mir-193b-3p_docetaxel
xrcc1	hsa-mir-193b-3p_docetaxel
map3k1	hsa-mir-193b-3p_docetaxel
tubb	hsa-mir-193b-3p_docetaxel
ephx1	hsa-mir-193b-3p_docetaxel
esr1	hsa-mir-193b-3p_docetaxel
tuba1b	hsa-mir-193b-3p_docetaxel
nf1	hsa-mir-193b-3p_sorafenib
mapk8	hsa-mir-193b-3p_sorafenib
pten	hsa-mir-193b-3p_sorafenib
irak1	hsa-mir-193b-3p_sorafenib
cdk8	hsa-mir-193b-3p_sorafenib
kit	hsa-mir-193b-3p_sorafenib
arid1a	hsa-mir-193b-3p_sorafenib
kras	hsa-mir-193b-3p_sorafenib
gmnn	hsa-mir-193b-3p_sorafenib
epha2	hsa-mir-193b-3p_sorafenib
msh6	hsa-mir-193b-3p_temozolomide
pten	hsa-mir-193b-3p_temozolomide
fxn	hsa-mir-193b-5p_cisplatin
bmp7	hsa-mir-193b-5p_doxorubicin
bmp7	hsa-mir-193b-5p_vincristine
stmn1	hsa-mir-193b-5p_paclitaxel
stmn1	hsa-mir-193b-5p_paclitaxel
fxn	hsa-mir-193b-5p_cisplatin
stmn1	hsa-mir-193b-5p_paclitaxel
rps19	hsa-mir-193b-5p_rituximab
bmp7	hsa-mir-193b-5p_cyclophosphamide
bmp7	hsa-mir-193b-5p_doxorubicin
tp53	hsa-mir-194-3p_ceritinib
tp53	hsa-mir-194-3p_fluorouracil
cdc5l	hsa-mir-194-3p_gemcitabine
tp53	hsa-mir-194-3p_gemcitabine
wee1	hsa-mir-194-3p_gemcitabine
tp53	hsa-mir-194-3p_cisplatin
tp53	hsa-mir-194-3p_cisplatin
cdkn1b	hsa-mir-194-5p_doxorubicin
tyms	hsa-mir-194-5p_cisplatin
tyms	hsa-mir-194-5p_cisplatin
tyms	hsa-mir-194-5p_cisplatin
tyms	hsa-mir-194-5p_cisplatin
cdkn1b	hsa-mir-194-5p_doxorubicin
cdkn1b	hsa-mir-194-5p_vincristine
tyms	hsa-mir-194-5p_vincristine
tyms	hsa-mir-194-5p_mitomycin c
tyms	hsa-mir-194-5p_cisplatin
tyms	hsa-mir-194-5p_mitomycin c
cdkn1b	hsa-mir-194-5p_doxorubicin
rbx1	hsa-mir-194-5p_epirubicin
chd1	hsa-mir-194-5p_epirubicin
